id,reputationIdx,repRaceMask_1,repRaceMask_2,repRaceMask_3,repRaceMask_4,repClassMask_1,repClassMask_2,repClassMask_3,repClassMask_4,repBase_1,repBase_2,repBase_3,repBase_4,repFlags_1,repFlags_2,repFlags_3,repFlags_4,parentFactionId,name_enUS,name_enGB,name_koKR,name_frFR,name_deDE,name_enCN,name_zhCN,name_enTW,nameMask,description_enUS,description_enGB,description_koKR,description_frFR,description_deDE,description_enCN,description_zhCN,description_enTW,descriptionMask
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Human","","","","","","","",4128894,"","","","","","","","",4128876
2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Orc","","","","","","","",4128894,"","","","","","","","",4128876
3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Dwarf","","","","","","","",4128894,"","","","","","","","",4128876
4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Night Elf","","","","","","","",4128894,"","","","","","","","",4128876
5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Undead","","","","","","","",4128894,"","","","","","","","",4128878
6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Tauren ","","","","","","","",4128894,"","","","","","","","",4128876
7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Creature","","","","","","","",8323198,"","","","","","","","",4128876
8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Gnome","","","","","","","",4128894,"","","","","","","","",4128876
9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Troll","","","","","","","",4128894,"","","","","","","","",4128876
14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monster","","","","","","","",8323198,"","","","","","","","",4128876
15,-1,589,434,0,0,0,0,0,0,-6500,-42000,0,0,0,0,0,0,0,"Defias Brotherhood","","","","","","","",4128894,"The Defias Brotherhood is a criminal organization seeking to tear down the Stormwind ruling class and establish a new society through revolution. The Defias are not beyond working with dangerous beings to achieve their goals.","","","","","","","",4128876
16,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,"Riverpaw Gnolls","","","","","","","",4128894,"","","","","","","","",4128876
17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll - Redridge","","","","","","","",4128894,"","","","","","","","",4128876
18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll - Shadowhide","","","","","","","",4128894,"","","","","","","","",4128876
19,-1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Murloc","","","","","","","",8323198,"","","","","","","","",4128876
20,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,"Undead","","","","","","","",8323198,"Undead","","","","","","","",4128876
21,1,767,256,0,0,0,0,0,0,500,3500,0,0,0,0,0,0,169,"Booty Bay","","","","","","","",4128894,"This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.","","","","","","","",4128894
22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beast - Spider","","","","","","","",4128894,"","","","","","","","",4128876
23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beast - Boar","","","","","","","",4128894,"","","","","","","","",4128876
24,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,"Worgen","","","","","","","",8323198,"The Worgen are mysterious beings summoned from another dimension. Their intentions and purpose is unknown.","","","","","","","",4128876
25,-1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kobold","","","","","","","",8323198,"","","","","","","","",4128876
26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Bloodscalp","","","","","","","",4128894,"","","","","","","","",4128876
27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Skullsplitter","","","","","","","",4128894,"","","","","","","","",4128876
28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prey","","","","","","","",8323198,"","","","","","","","",4128876
29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beast - Wolf","","","","","","","",4128894,"","","","","","","","",4128876
30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Defias Brotherhood Traitor","","","","","","","",4128894,"","","","","","","","",4128876
31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Friendly","","","","","","","",8323198,"","","","","","","","",4128876
32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trogg","","","","","","","",8323198,"","","","","","","","",4128876
